监测站,AQI,空气质量等级,PM2.5,PM10,首要污染物
招远环保局,35,优,17 μg/m3,34 μg/m3,
郑州岗李水库(对照点),59,良,19 μg/m3,67 μg/m3,PM10
郑州市监测站,59,良,23 μg/m3,66 μg/m3,PM10
郑州郑纺机,56,良,17 μg/m3,61 μg/m3,PM10
郑州烟厂,55,良,18 μg/m3,58 μg/m3,PM10
郑州供水公司,50,优,16 μg/m3,49 μg/m3,
郑州河医大,49,优,13 μg/m3,48 μg/m3,
郑州银行学校,49,优,16 μg/m3,48 μg/m3,
郑州四十七中,43,优,13 μg/m3,42 μg/m3,
郑州经开区管委,37,优,15 μg/m3,36 μg/m3,
镇江新区办事处,55,良,38 μg/m3,56 μg/m3,PM2.5
镇江市疾控中心,53,良,37 μg/m3,50 μg/m3,PM2.5
镇江丹徒区监测站,50,优,31 μg/m3,49 μg/m3,
